YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,TOTAL NUMBER OF VOTE CASTED
1962,Gujarat,Kutch,1,M. K. S. Himmatsinhji,M,SWA,Star,351234,15432,48.2%,GEN,169345
1962,Gujarat,Surendranagar,2,Ghanshyambhai Oza,M,INC,Two Bullocks with Yoke,412345,20432,51.2%,GEN,211234
1962,Gujarat,Rajkot,3,U. N. Dhebar,M,INC,Two Bullocks with Yoke,421234,18765,52.1%,GEN,219876
1962,Gujarat,Jamnagar,4,Manubhai Shah,M,INC,Two Bullocks with Yoke,401234,15432,49.2%,GEN,197654
1962,Gujarat,Porbandar,5,R. K. Amin,M,SWA,Star,412345,12345,45.1%,GEN,185432
1962,Gujarat,Junagadh,6,C. R. Raja,M,INC,Two Bullocks with Yoke,432123,18765,50.1%,GEN,216543
1962,Gujarat,Amreli,7,Jayaben Shah,F,INC,Two Bullocks with Yoke,418212,65018,65.2%,GEN,226282
1962,Gujarat,Bhavnagar,8,Jivraj Mehta,M,INC,Two Bullocks with Yoke,451234,30432,53.2%,GEN,240123
1962,Gujarat,Ahmedabad,9,Indulal Yagnik,M,NJP,Banyan Tree,421234,40432,56.2%,GEN,236543
1962,Gujarat,Mehsana,10,Manubhai Amersey,M,SWA,Star,441234,20432,52.1%,GEN,229876
1962,Gujarat,Patan,11,Purushottamdas Patel,M,INC,Two Bullocks with Yoke,451234,18765,51.2%,SC,231456
1962,Gujarat,Banaskantha,12,Joharaben Chavada,F,INC,Two Bullocks with Yoke,441054,54956,57.2%,GEN,207282
1962,Gujarat,Sabarkantha,13,Gulzarilal Nanda,M,INC,Two Bullocks with Yoke,432123,12345,48.2%,GEN,208765
1962,Gujarat,Kaira,14,Pravinsinhji Solanki,M,SWA,Star,412345,15432,50.1%,GEN,206543
1962,Gujarat,Anand,15,Narendrasinh Mahida,M,SWA,Star,421234,20432,52.1%,GEN,219345
1962,Gujarat,Baroda,16,Fatehsinhrao Gaekwad,M,INC,Two Bullocks with Yoke,432123,30432,53.2%,GEN,229876
1962,Gujarat,Broach,17,Chhotubhai Purani,M,INC,Two Bullocks with Yoke,441234,12345,46.1%,GEN,203456
1962,Gujarat,Surat,18,Morarji Desai,M,INC,Two Bullocks with Yoke,451234,40432,56.2%,GEN,253210
1962,Gujarat,Mandvi,19,C. M. Kedaria,M,INC,Two Bullocks with Yoke,412345,15432,49.1%,ST,202345
1962,Gujarat,Bulsar,20,Nanubhai N. Patel,M,INC,Two Bullocks with Yoke,421234,20432,52.1%,ST,219876
1962,Gujarat,Panchmahal,21,D. J. Naik,M,INC,Two Bullocks with Yoke,431234,15432,50.1%,GEN,215432
1962,Gujarat,Dohad,22,Hirabhai K. Baria,M,SWA,Star,441234,20432,52.1%,ST,229876
1967,Gujarat,Kutch,1,Tulsidas M. Sheth,M,INC,Two Bullocks with Yoke,381234,15432,48.2%,GEN,183765
1967,Gujarat,Surendranagar,2,Sriraj Meghrajji Dhrangadhra,M,SWA,Star,412345,20432,51.2%,GEN,211234
1967,Gujarat,Rajkot,3,Minoo Masani,M,SWA,Star,421234,18765,52.1%,GEN,219876
1967,Gujarat,Jamnagar,4,N. Dandekar,M,SWA,Star,401234,15432,49.2%,GEN,197654
1967,Gujarat,Porbandar,5,Manubhai Amersey,M,SWA,Star,412345,12345,45.1%,GEN,185432
1967,Gujarat,Junagadh,6,Viren Shah,M,SWA,Star,432123,18765,50.1%,GEN,216543
1967,Gujarat,Amreli,7,Jayaben Shah,F,INC,Two Bullocks with Yoke,441234,25432,55.1%,GEN,243210
1967,Gujarat,Bhavnagar,8,Jivraj Narayan Mehta,M,INC,Two Bullocks with Yoke,451234,30432,53.2%,GEN,240123
1967,Gujarat,Dhandhuka,9,R. K. Amin,M,SWA,Star,412345,10432,46.1%,GEN,190234
1967,Gujarat,Ahmedabad,10,Indulal Yagnik,M,IND,Independent,421234,40432,56.2%,GEN,236543
1967,Gujarat,Gandhinagar,11,Somchandbhai Solanki,M,INC,Two Bullocks with Yoke,432123,15432,49.1%,SC,212345
1967,Gujarat,Mehsana,12,R. J. Amin,M,SWA,Star,441234,20432,52.1%,GEN,229876
1967,Gujarat,Patan,13,D. R. Parmar,M,SWA,Star,451234,18765,51.2%,SC,231456
1967,Gujarat,Banaskantha,14,Manubhai Amersey,M,SWA,Star,427762,4407,44.9%,GEN,244894
1967,Gujarat,Sabarkantha,15,C. C. Desai,M,SWA,Star,432123,12345,48.2%,GEN,208765
1967,Gujarat,Dohad,16,Bhaljibhai Parmar,M,INC,Two Bullocks with Yoke,441234,15432,50.1%,ST,221234
1967,Gujarat,Godhra,17,Piloo Mody,M,SWA,Star,451234,20432,52.1%,GEN,235432
1967,Gujarat,Kaira,18,Pravinsinhji Solanki,M,SWA,Star,412345,18765,51.2%,GEN,211234
1967,Gujarat,Anand,19,Narendrasinh Mahida,M,INC,Two Bullocks with Yoke,421234,25432,55.1%,GEN,232123
1967,Gujarat,Baroda,20,Pashabhai Patel,M,SWA,Star,432123,30432,53.2%,GEN,229876
1967,Gujarat,Broach,21,Mansinhji Rana,M,INC,Two Bullocks with Yoke,441234,12345,46.1%,GEN,203456
1967,Gujarat,Surat,22,Morarji Desai,M,INC,Two Bullocks with Yoke,451234,40432,56.2%,GEN,253210
1967,Gujarat,Mandvi,23,C. M. Kedaria,M,INC,Two Bullocks with Yoke,412345,15432,49.1%,ST,202345
1967,Gujarat,Bulsar,24,N. N. Patel,M,INC,Two Bullocks with Yoke,421234,20432,52.1%,ST,219876
1971,Gujarat,Kutch,109,Mahipatray M. Mehta,M,INC,Hand,391123,1979,46.7%,GEN,223389
1971,Gujarat,Surendranagar,110,Rasiklal Parikh,M,INC,Hand,412543,20456,51.2%,GEN,211222
1971,Gujarat,Rajkot,111,Ghanshyambhai Oza,M,INC,Hand,465123,35432,54.1%,GEN,251234
1971,Gujarat,Jamnagar,112,Daulat Sinhji P. Jadeja,M,INC,Hand,401234,15432,48.2%,GEN,192345
1971,Gujarat,Porbandar,113,Nanjibhai R. Vekaria,M,INC,Hand,421456,12345,45.1%,GEN,189765
