YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,TOTAL NUMBER OF VOTE CASTED
1962,Gujarat,Constituency 1,1,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 2,2,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 3,3,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 4,4,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 5,5,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 6,6,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 7,7,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 8,8,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 9,9,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 10,10,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 11,11,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 12,12,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 13,13,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 14,14,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 15,15,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 16,16,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 17,17,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 18,18,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 19,19,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 20,20,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 21,21,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 22,22,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 23,23,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 24,24,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 25,25,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 26,26,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 27,27,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 28,28,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 29,29,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 30,30,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
1962,Gujarat,Constituency 31,31,Winning Candidate,M,INC,Hand,250000,10000,0.55,GEN,150000
