YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,TOTAL NUMBER OF VOTE CASTED
1978,Maharashtra,,1,Mathkar Jayanand Shivram,M,Janata Party,Haldhar within Wheel (Chakra),100163,20339,61.82%,GEN,66862
1978,Maharashtra,,2,Kinalkar Pundlik Atmaram,M,Janata Party,Haldhar within Wheel (Chakra),95004,28782,69.48%,GEN,62647
1978,Maharashtra,,3,Dalvi Yashwant Babaji,M,Janata Party,Haldhar within Wheel (Chakra),95036,23792,59.00%,GEN,59694
1978,Maharashtra,,4,Vasant Sadashiv Satam,M,Janata Party,Haldhar within Wheel (Chakra),84301,24725,70.46%,GEN,56055
1978,Maharashtra,,5,Hatankar Laxman Ranganath,M,Janata Party,Haldhar within Wheel (Chakra),100219,31406,70.67%,GEN,65229
1978,Maharashtra,,6,Sau. Abhyankar Kusumtai Ramchandra,F,Janata Party,Haldhar within Wheel (Chakra),107058,10025,46.17%,GEN,64759
1978,Maharashtra,,7,Jagannathrao Jadhav,M,Janata Party,Haldhar within Wheel (Chakra),99681,28493,67.57%,GEN,59584
1978,Maharashtra,,8,Natu Dr. Shridhar Dattatray,M,Janata Party,Haldhar within Wheel (Chakra),97701,19728,66.19%,GEN,60912
1978,Maharashtra,,9,Shinde Rajaram Keshav,M,Janata Party,Haldhar within Wheel (Chakra),86381,9165,46.94%,GEN,60276
1978,Maharashtra,,10,Bhosle Amrutrao Ganpatrao,M,Janata Party,Haldhar within Wheel (Chakra),95165,2652,52.04%,GEN,57957
1978,Maharashtra,,11,Sakpal Gangaram Daulat,M,Janata Party,Haldhar within Wheel (Chakra),104008,16295,60.42%,GEN,68308
1978,Maharashtra,,12,Purohit Nana Alias Digambar Vinayak,M,Janata Party,Haldhar within Wheel (Chakra),93471,15367,60.03%,GEN,62326
1978,Maharashtra,,13,Ukaye A. Shakur A. Karim,M,Janata Party,Haldhar within Wheel (Chakra),107018,4394,48.65%,GEN,63718
1978,Maharashtra,,14,Ram Vithhal Mahalunge,M,Indian National Congress,Hand,95204,5128,33.56%,GEN,54566
1978,Maharashtra,,15,A.T.Patil,M,Indian National Congress,Hand,98986,2937,43.61%,GEN,65304
1978,Maharashtra,,16,Datta Patil,M,Peasant'S & Workers' Party,Other,103524,13235,48.22%,GEN,72492
1978,Maharashtra,,17,Dattatraya Narayan Patil,M,Peasant'S & Workers' Party,Other,103164,5592,32.92%,GEN,64487
1978,Maharashtra,,18,Patil Balkrishna Limbaji,M,Indian National Congress,Hand,108974,5931,33.17%,GEN,65079
1978,Maharashtra,,19,Ranjit Bhanu,M,Janata Party,Haldhar within Wheel (Chakra),99811,13631,45.61%,GEN,53668
1978,Maharashtra,,20,Chorwadwala Abdulkadar Ibrahim,M,Janata Party,Haldhar within Wheel (Chakra),122174,3432,41.46%,GEN,63173
1978,Maharashtra,,21,Parikh Mohanlal Pranlal,M,Janata Party,Haldhar within Wheel (Chakra),111413,29292,63.84%,GEN,60890
1978,Maharashtra,,22,Khan Khaleeq Ahmed,M,Janata Party,Haldhar within Wheel (Chakra),125021,25652,55.06%,GEN,65833
1978,Maharashtra,,23,Mehta Jayawantiben Navinchandra,F,Janata Party,Haldhar within Wheel (Chakra),108701,26857,61.38%,GEN,71068
1978,Maharashtra,,24,Balvant A.Desai,M,Janata Party,Haldhar within Wheel (Chakra),138797,18476,48.85%,GEN,75768
1978,Maharashtra,,25,Kaviskar Suhas Tulaji,M,Independent,Free Symbol,115189,16378,47.00%,GEN,63502
