YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,TOTAL NUMBER OF VOTE CASTED
1977,Gujarat,Kutch,1,Dave Anantray Devshankar,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),438528,10817,50.00%,GEN,231019
1977,Gujarat,Surendranagar,2,Amin Ramdas Kishordas ( R. K. Amin ),M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),500963,5433,49.50%,GEN,282693
1977,Gujarat,Jamnagar,3,Vinodbhai B. Sheth,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),479585,2670,49.99%,GEN,243616
1977,Gujarat,Rajkot,4,Patel Keshubhai Savdasbhai,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),604102,15801,46.94%,GEN,304784
1977,Gujarat,Porbandar,5,Patel Dharmasinhbhai Dahyabhai,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),525285,24429,53.44%,GEN,268077
1977,Gujarat,Junagadh,6,Nathwani Narendra Pragji,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),516292,11853,51.83%,GEN,323281
1977,Gujarat,Amreli,7,Dwarkadas Mohanlal Patel,M,Indian National Congress,Hand,494073,59006,54.51%,GEN,257894
1977,Gujarat,Bhavnagar,8,Prasannavadan Manilal Methta,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),509755,11137,50.75%,GEN,253794
1977,Gujarat,Dhandhuka,9,Parmar Natavarlal Bhagavandas,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),549416,27766,49.09%,SC,274019
1977,Gujarat,Ahmedabad,10,Ahesan Jafri,M,Indian National Congress,Hand,573286,10013,50.59%,GEN,371018
1977,Gujarat,Gandhinagar,11,Purushottam Ganesh Mavalankar,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),619720,60117,57.41%,GEN,386629
1977,Gujarat,Mehsana,12,Patel Maniben Vallabhbhai,F,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),596154,122112,62.96%,GEN,382424
1977,Gujarat,Patan,13,Chavda Khemchandbhai Somabhai,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),573367,73566,61.36%,SC,298186
1977,Gujarat,Banaskantha,14,Chaudhary Motibhai Ranchhodbhai,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),505258,64783,61.89%,GEN,272513
1977,Gujarat,Sabarkantha,15,H. M. Patel,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),543790,38062,53.87%,GEN,305361
1977,Gujarat,Kapadvanj,16,Vaghela Shankarji Laxmanji,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),561342,67971,58.17%,GEN,323881
1977,Gujarat,Dohad,17,Damor Somjibhai Pujabhai,M,Indian National Congress,Hand,508980,3393,50.97%,ST,175683
1977,Gujarat,Godhra,18,Desai Hitendrabhai Kanaiyalal,M,Indian National Congress,Hand,517416,1380,48.64%,GEN,285018
1977,Gujarat,Kaira,19,Desai Dharmsingh Dadubhai,M,Indian National Congress,Hand,573138,41844,53.55%,GEN,395697
1977,Gujarat,Anand,20,Ajitsinh Fulsinh Dabhi,M,Indian National Congress,Hand,564294,62779,56.51%,GEN,391277
1977,Gujarat,Chhota Udaipur,21,Rathawa Amarsinh Viriyabhai,M,Indian National Congress,Hand,533507,41123,55.02%,ST,309613
1977,Gujarat,Baroda,22,Gaekwad Fatesinhrao Pratapsinhrao,M,Indian National Congress,Hand,595724,40923,54.18%,GEN,404387
1977,Gujarat,Broach,23,Patel Ahmedbhai Mohmadbhai,M,Indian National Congress,Hand,544523,62879,56.81%,GEN,334124
1977,Gujarat,Surat,24,Desai Morarji Ranchhodji,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),582963,21460,52.46%,GEN,393050
1977,Gujarat,Mandvi,25,Gamit Chhitubhai Devjibhai,M,Indian National Congress,Hand,541832,39603,56.04%,ST,327615
1977,Gujarat,Bulsar,26,Patel Nanubhai Nichhabhai,M,Bharatiya Lok Dal,Haldhar within Wheel (Chakra),556415,17964,51.11%,ST,316718
1980,Gujarat,Kutch,1,Mehta Mahipatray Mulshanker,M,Indian Natioanl Congress (I),Hand,506980,20951,49.07%,GEN,271371
1980,Gujarat,Surendranagar,2,Digvijaysinh Pratapsinhg Zala,M,Indian Natioanl Congress (I),Hand,581146,84516,57.35%,GEN,337655
1980,Gujarat,Jamnagar,3,Jadeja Dolatsinhji Pratapsinhji,M,Indian Natioanl Congress (I),Hand,563162,57787,52.23%,GEN,256497
1980,Gujarat,Rajkot,4,Mavani Ramjibhai Bhurabhai,M,Indian Natioanl Congress (I),Hand,706199,53476,51.46%,GEN,307464
1980,Gujarat,Porbandar,5,Odedra Maldeji Mandlikji,M,Indian Natioanl Congress (I),Hand,589036,60308,57.72%,GEN,281904
1980,Gujarat,Junagadh,6,Patel Mohanlal Laljibhai,M,Indian Natioanl Congress (I),Hand,597939,10781,48.52%,GEN,329575
